feature,validation_loss,test_loss
mean_F2_bandwidth,0.057552131908861076,1.162209078669548
mean_harmonic_difference_H1_A3,0.0617519888010892,1.4425343573093414
50th_percentile_pitch_semitone,0.0625164880501953,0.9992311894893646
mean_harmonic_difference_H1_H2,0.058277586813677444,1.1063541372617085
mean_spectral_slope_500_1500_voiced,0.053865761326795276,1.188360611597697
cv_mfcc3,0.020724749637090346,0.3837782417734464
cv_spectral_flux,0.08332305909557776,0.8320566316445669
cv_HNR,0.0006256838089691221,4.403455107317616
cv_F2,0.05878554259172895,1.174766590197881
cv_F3_bandwidth,0.0743013701655648,1.375621904929479
loudness,0.06621296051889658,0.9761360188325247
logHNR,0.05833618757738308,1.4153015911579132
